rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
61817,WTNT,-1,488.0,26272.00,63.60000000000001,14,TARGET_1,60.0,TARGET_2,80.0,105.0,77.0,60,80,240,61818,61831,16.900000000000002,WT,120m
65590,CT,1,298.0,25926.25,50.2,32,TARGET_1,40.0,TARGET_2,80.0,89.0,82.0,40,80,190,65591,65622,19.380000000000003,CT,30m
66315,CT,1,465.0,26003.75,50.2,99,TARGET_1,40.0,TARGET_2,80.0,118.0,147.0,40,80,190,66327,66425,19.87,CT,90m
67770,WTNT,-1,468.0,26146.00,63.60000000000001,121,TARGET_1,60.0,TARGET_2,80.0,80.0,81.0,60,80,240,67771,67891,16.900000000000002,WT,120m
72953,WTNT,-1,63.0,25852.25,63.60000000000001,145,TARGET_1,60.0,TARGET_2,80.0,87.0,111.0,60,80,240,72954,73098,19.11,WT,15m
73277,CT,-1,606.0,25743.25,50.2,19,TARGET_1,40.0,TARGET_2,80.0,82.0,9.0,40,80,190,73279,73297,17.66,CT,90m
79221,CT,1,359.0,25110.75,50.2,10,TARGET_1,40.0,TARGET_2,80.0,99.0,54.0,40,80,190,79222,79231,17.86,CT,30m
83902,WTNT,1,172.0,25669.50,63.60000000000001,46,TARGET_1,60.0,TARGET_2,80.0,92.0,160.0,60,80,240,83903,83948,16.900000000000002,WT,60m
84220,WTNT,-1,99.0,25769.25,63.60000000000001,82,TARGET_1,60.0,TARGET_2,80.0,82.0,173.0,60,80,240,84221,84302,17.86,WT,30m
89304,WTNT,-1,114.0,25136.25,63.60000000000001,47,TARGET_1,60.0,TARGET_2,80.0,83.0,123.0,60,80,240,89305,89351,17.66,WT,15m
92391,WTNT,-1,208.0,25239.50,63.60000000000001,15,TARGET_1,60.0,TARGET_2,80.0,89.0,47.0,60,80,240,92392,92406,16.900000000000002,WT,60m
94404,WTNT,-1,380.0,25158.25,63.60000000000001,88,TARGET_1,60.0,TARGET_2,80.0,83.0,171.0,60,80,240,94405,94492,16.900000000000002,WT,15m
94511,CT,-1,380.0,25160.25,50.2,2,TARGET_1,40.0,TARGET_2,80.0,82.0,2.0,40,80,190,94512,94513,16.900000000000002,CT,15m
94552,WTNT,-1,380.0,25162.25,63.60000000000001,6,TARGET_1,60.0,TARGET_2,80.0,97.0,10.0,60,80,240,94553,94558,16.900000000000002,WT,15m
96170,WTNT,-1,164.0,24811.25,63.60000000000001,9,TARGET_1,60.0,TARGET_2,80.0,89.0,74.0,60,80,240,96171,96179,20.83,WT,30m
99103,WTNT,1,679.0,24550.00,63.60000000000001,31,TARGET_1,60.0,TARGET_2,80.0,80.0,101.0,60,80,240,99104,99134,19.380000000000003,WT,30m
101989,CT,1,802.0,24706.25,50.2,15,TARGET_1,40.0,TARGET_2,80.0,80.0,122.0,40,80,190,101990,102004,19.87,CT,120m
102014,CT,1,802.0,24706.25,50.2,5,TARGET_1,40.0,TARGET_2,80.0,91.0,43.0,40,80,190,102015,102019,16.900000000000002,CT,120m
105356,CT,1,265.0,24207.50,50.2,1,TARGET_1,40.0,TARGET_2,80.0,90.0,8.0,40,80,190,105357,105357,17.66,CT,60m
116191,WTNT,-1,121.0,25330.75,63.60000000000001,14,TARGET_1,60.0,TARGET_2,80.0,83.0,47.0,60,80,240,116192,116205,16.900000000000002,WT,15m
116228,WTNT,-1,121.0,25324.25,4.200000000000003,160,TARGET_1,60.0,TIMECAP,-100.0,66.0,146.0,60,80,240,116229,116388,16.900000000000002,WT,15m
116690,CT,1,76.0,25311.00,50.2,105,TARGET_1,40.0,TARGET_2,80.0,89.0,101.0,40,80,190,116692,116796,17.86,CT,30m
116835,WTNT,1,66.0,25350.75,63.60000000000001,3,TARGET_1,60.0,TARGET_2,80.0,105.0,12.0,60,80,240,116836,116838,17.86,WT,30m
117085,CT,1,211.0,25382.50,50.2,23,TARGET_1,40.0,TARGET_2,80.0,82.0,60.0,40,80,190,117086,117108,19.87,CT,90m
117128,CT,1,211.0,25382.25,50.2,3,TARGET_1,40.0,TARGET_2,80.0,99.0,1.0,40,80,190,117129,117131,16.900000000000002,CT,90m
117888,WTNT,1,231.0,25255.75,63.60000000000001,22,TARGET_1,60.0,TARGET_2,80.0,83.0,66.0,60,80,240,117889,117910,16.900000000000002,WT,90m
118447,CT,1,350.0,25295.50,50.2,23,TARGET_1,40.0,TARGET_2,80.0,84.0,112.0,40,80,190,118448,118470,21.590000000000003,CT,30m
118662,CT,1,393.0,25364.50,50.2,68,TARGET_1,40.0,TARGET_2,80.0,82.0,168.0,40,80,190,118664,118731,18.62,CT,30m
118914,WTNT,-1,138.0,25444.00,3.539999999999999,160,TARGET_1,60.0,TIMECAP,-102.0,62.0,207.0,60,80,240,118915,119074,17.66,WT,15m
119110,WTNT,-1,254.0,25480.75,63.60000000000001,27,TARGET_1,60.0,TARGET_2,80.0,92.0,48.0,60,80,240,119111,119137,19.380000000000003,WT,30m
121767,CT,1,431.0,25603.00,50.2,105,TARGET_1,40.0,TARGET_2,80.0,103.0,66.0,40,80,190,121770,121874,16.900000000000002,CT,90m
123645,WTNT,-1,44.0,25673.75,63.60000000000001,71,TARGET_1,60.0,TARGET_2,80.0,84.0,46.0,60,80,240,123646,123716,17.66,WT,15m
123718,CT,1,42.0,25648.25,-1.2800000000000011,160,TARGET_1,40.0,TIMECAP,-76.0,71.0,140.0,40,80,190,123719,123878,16.900000000000002,CT,15m
127183,CT,1,187.0,25696.75,50.2,75,TARGET_1,40.0,TARGET_2,80.0,95.0,128.0,40,80,190,127185,127259,16.900000000000002,CT,15m
127419,CT,1,119.0,25728.50,8.29,160,TARGET_1,40.0,TIMECAP,-47.0,61.0,104.0,40,80,190,127421,127580,16.900000000000002,CT,15m
131087,WTNT,-1,112.0,25705.50,63.60000000000001,112,TARGET_1,60.0,TARGET_2,80.0,87.0,66.0,60,80,240,131088,131199,19.11,WT,90m
131229,CT,1,88.0,25689.00,-193.0,64,STOP,-190.0,STOP,-190.0,19.0,196.0,40,80,190,131230,131293,16.900000000000002,CT,15m
137875,WTNT,-1,330.0,25296.75,-243.0,16,STOP,-240.0,STOP,-240.0,15.0,242.0,60,80,240,137876,137891,17.66,WT,15m
137960,CT,-1,330.0,25320.75,50.2,59,TARGET_1,40.0,TARGET_2,80.0,82.0,95.0,40,80,190,137961,138019,17.66,CT,15m
138377,CT,1,201.0,25184.50,50.2,45,TARGET_1,40.0,TARGET_2,80.0,81.0,156.0,40,80,190,138378,138422,16.900000000000002,CT,15m
138448,WTNT,1,201.0,25190.00,63.60000000000001,37,TARGET_1,60.0,TARGET_2,80.0,82.0,79.0,60,80,240,138449,138485,16.900000000000002,WT,15m
